age,month_application,date_application,employment_status,gender,loan_purpose,loan_amount_range,loan_amount
23,December,19/12/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",1500
23,December,05/12/2019,PART TIME,FEMALE,Personal,"0 - 1,000",1000
23,November,08/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",5000
23,November,07/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",464.9
23,April,08/04/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2000
23,July,31/07/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",500
23,May,31/05/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",340
23,May,25/05/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",3000
23,April,27/04/2019,STUDENT,FEMALE,Personal,"1,001 - 5,000",3500
23,August,23/08/2019,STUDENT,Male,Personal,"1,001 - 5,000",5000
23,June,28/06/2019,STUDENT,FEMALE,Car,"1,001 - 5,000",4000
23,March,26/03/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",8250
23,February,05/02/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",500
23,March,23/03/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
23,October,23/10/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",300
23,February,06/02/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,May,08/05/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,November,11/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,February,27/02/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",2000
23,June,11/06/2019,PART TIME,FEMALE,Car,"0 - 1,000",500
23,November,19/11/2019,PART TIME,FEMALE,Car,"0 - 1,000",500
23,February,20/02/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",200
23,September,12/09/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",1500
23,October,26/10/2019,FULL TIME,FEMALE,Car,"0 - 1,000",1000
23,September,28/09/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",1500
23,January,25/01/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2500
23,July,29/07/2019,FULL TIME,FEMALE,Car,"10,001 - 15,000",12000
23,February,07/02/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
23,September,25/09/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",310
23,October,26/10/2019,STUDENT,FEMALE,Car,"5,001 - 10,000",6000
23,February,06/02/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",400
23,September,26/09/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",400
23,May,24/05/2019,FULL TIME,Male,Car,"10,001 - 15,000",15000
23,May,13/05/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2000
23,February,09/02/2019,STUDENT,Male,Personal,"1,001 - 5,000",4600
23,June,14/06/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
23,November,30/11/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1500
23,January,19/01/2019,FULL TIME,Male,Car,"0 - 1,000",1000
23,April,09/04/2019,FULL TIME,Male,Personal,"5,001 - 10,000",10000
23,November,30/11/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
23,June,08/06/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",8000
23,September,14/09/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",10000
23,May,15/05/2019,PART TIME,FEMALE,Personal,"0 - 1,000",200
23,August,09/08/2019,PART TIME,FEMALE,Personal,"0 - 1,000",900
23,January,12/01/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",750
23,February,09/02/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",4250
23,July,12/07/2019,FULL TIME,FEMALE,Car,"0 - 1,000",400
23,September,04/09/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",600
23,May,28/05/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2000
23,February,09/02/2019,STUDENT,Male,Personal,"0 - 1,000",700
23,September,06/09/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
23,January,03/01/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,May,31/05/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,November,21/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,September,23/09/2019,FULL TIME,Male,Car,"10,001 - 15,000",15000
24,April,27/04/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
24,September,05/09/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",4400
24,February,25/02/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1500
24,October,30/10/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
24,March,15/03/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",250
24,August,30/08/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",250
24,January,18/01/2019,FULL TIME,FEMALE,Home,"0 - 1,000",1000
24,January,12/01/2019,STUDENT,Male,Student,"0 - 1,000",400
24,January,18/01/2019,STUDENT,Male,Car,"1,001 - 5,000",2600
24,October,05/10/2019,STUDENT,Male,Student,"5,001 - 10,000",6000
24,February,01/02/2019,FULL TIME,FEMALE,Personal,"10,001 - 15,000",11500
24,October,16/10/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",3000
24,June,17/06/2019,FULL TIME,Male,Car,"0 - 1,000",1000
24,May,14/05/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",250
24,October,10/10/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",250
24,June,21/06/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
24,May,29/05/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
24,July,08/07/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",600
24,September,26/09/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",900
24,January,30/01/2019,STUDENT,Male,Student,"1,001 - 5,000",2000
24,November,06/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",2000
24,November,27/11/2019,FULL TIME,FEMALE,Car,"5,001 - 10,000",6850
24,November,29/11/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
24,June,12/06/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,April,04/04/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
24,October,18/10/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
24,January,23/01/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
24,May,04/05/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",10000
24,April,01/04/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",4000
24,April,02/04/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
24,September,05/09/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2000
24,November,19/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
24,January,31/01/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,March,15/03/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,May,09/05/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,June,04/06/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,July,18/07/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,August,22/08/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,November,14/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,September,18/09/2019,PART TIME,FEMALE,Personal,"1,001 - 5,000",3000
24,July,26/07/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",3000
24,December,16/12/2019,FULL TIME,FEMALE,Home,"1,001 - 5,000",1500
24,December,21/12/2019,FULL TIME,Male,Car,"10,001 - 15,000",15000
24,March,12/03/2019,PART TIME,Male,Student,"1,001 - 5,000",3000
24,October,09/10/2019,FULL TIME,Male,Personal,"0 - 1,000",100
24,October,23/10/2019,STUDENT,Male,Student,"1,001 - 5,000",2000
24,March,14/03/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
24,July,05/07/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",8000
24,June,29/06/2019,FULL TIME,Male,Car,"5,001 - 10,000",5120
24,April,26/04/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250.16
24,December,05/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",300
24,December,30/12/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
24,May,16/05/2019,PART TIME,FEMALE,Student,"0 - 1,000",1000
24,August,22/08/2019,PART TIME,FEMALE,Student,"5,001 - 10,000",6500
24,May,14/05/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",0
24,November,18/11/2019,FULL TIME,FEMALE,Car,"10,001 - 15,000",11000
24,August,23/08/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
24,April,15/04/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
25,October,08/10/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",450
25,January,31/01/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",700
25,June,20/06/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2000
25,March,05/03/2019,HOMEMAKER,FEMALE,Personal,"0 - 1,000",320
25,July,12/07/2019,HOMEMAKER,FEMALE,Personal,"0 - 1,000",250
25,December,23/12/2019,HOMEMAKER,FEMALE,Personal,"0 - 1,000",233
25,March,12/03/2019,HOMEMAKER,FEMALE,Car,"1,001 - 5,000",5000
25,September,07/09/2019,HOMEMAKER,FEMALE,Car,"0 - 1,000",500
25,July,10/07/2019,SOCIAL WELFARE,Male,Personal,"1,001 - 5,000",1500
25,October,21/10/2019,SOCIAL WELFARE,Male,Car,"0 - 1,000",520
25,April,20/04/2019,FULL TIME,FEMALE,Student,"5,001 - 10,000",10000
25,January,04/01/2019,PART TIME,FEMALE,Student,"5,001 - 10,000",7000
25,July,05/07/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2500
25,December,20/12/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1100
25,February,02/02/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
25,June,08/06/2019,FULL TIME,Male,Car,"1,001 - 5,000",1600
25,April,02/04/2019,FULL TIME,Male,Car,"1,001 - 5,000",2000
25,August,27/08/2019,STUDENT,Male,Student,"5,001 - 10,000",10000
25,March,12/03/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",2000
25,April,09/04/2019,FULL TIME,FEMALE,Student,"1,001 - 5,000",4000
25,March,01/03/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",5000
25,August,08/08/2019,FULL TIME,FEMALE,Student,"1,001 - 5,000",3000
25,October,25/10/2019,FULL TIME,Male,Personal,"1,001 - 5,000",3700
25,March,09/03/2019,FULL TIME,Male,Car,"10,001 - 15,000",15000
25,September,07/09/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
25,April,06/04/2019,FULL TIME,Male,Personal,"5,001 - 10,000",10000
25,October,11/10/2019,FULL TIME,Male,Car,"5,001 - 10,000",6000
25,September,20/09/2019,STUDENT,Male,Student,"1,001 - 5,000",2500
25,November,27/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
25,May,17/05/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",2000
25,April,10/04/2019,SOCIAL WELFARE,FEMALE,Personal,"0 - 1,000",250
25,September,13/09/2019,SOCIAL WELFARE,FEMALE,Personal,"0 - 1,000",250
25,December,13/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",496
25,January,19/01/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",3000
25,August,01/08/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2000
25,July,01/07/2019,FULL TIME,FEMALE,Student,"0 - 1,000",1000
25,September,09/09/2019,FULL TIME,FEMALE,Student,"0 - 1,000",500
